,Base Website,Scraped Page,formated_number
598,https://euc.cz,https://euc.cz,+420222300300
550,https://euc.cz,https://euc.cz,+420222314877
2457,https://clinterap.cz,https://clinterap.cz,+420222510607
10540,https://www.csspraha.cz,https://www.csspraha.cz,+420222515400
2526,http://www.csspraha.cz/,http://www.csspraha.cz/,+420222515400
15060,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420222518280
15074,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420222520269
600,https://euc.cz,https://euc.cz,+420222532400
10537,https://www.csspraha.cz,https://www.csspraha.cz,+420222580697
10964,https://www.bkb.cz/,https://www.bkb.cz/,+420222580697
2536,http://www.csspraha.cz/,http://www.csspraha.cz/,+420222580697
235,http://www.bkb.cz,http://www.bkb.cz,+420222580697
5619,http://www.r-mosty.cz,http://www.r-mosty.cz,+420222581241
10526,https://www.csspraha.cz,https://www.csspraha.cz,+420222581290
2535,http://www.csspraha.cz/,http://www.csspraha.cz/,+420222581290
15052,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420222582151
2523,http://www.csspraha.cz/,http://www.csspraha.cz/,+420222586608
10522,https://www.csspraha.cz,https://www.csspraha.cz,+420222586608
15071,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420222586768
2528,http://www.csspraha.cz/,http://www.csspraha.cz/,+420222586768
10529,https://www.csspraha.cz,https://www.csspraha.cz,+420222586768
9382,http://www.ulita.cz/,http://www.ulita.cz/,+420222990330
17102,https://www.ulita.cz,https://www.ulita.cz,+420222990330
16471,https://www.podaneruce.cz,https://www.podaneruce.cz,+420223110757
8180,https://podaneruce.cz/,https://podaneruce.cz/,+420223110757
5995,http://www.pvcklub.podaneruce.cz,http://www.pvcklub.podaneruce.cz,+420223110757
9102,https://podaneruce.cz,https://podaneruce.cz,+420223110757
15068,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420224252771
15033,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420224256954
16991,https://www.rodinavcentru.cz,https://www.rodinavcentru.cz,+420224358220
13682,https://www.idomino.eu,https://www.idomino.eu,+420224411000
11214,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224431026
2963,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224431026
2929,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224431087
11276,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224431087
2941,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224431111
11238,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224431111
3006,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224431131
11208,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224431131
2948,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224431193
11303,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224431193
11271,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432101
2937,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432101
2992,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432109
11295,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432109
2955,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432336
11252,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432336
11242,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432501
2904,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432501
11215,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432564
3012,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432564
3019,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432592
11285,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432592
11259,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432690
2979,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432690
11264,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432691
2912,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432691
11273,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432781
2960,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432781
3009,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432975
11260,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432975
11287,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224432976
3020,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224432976
11291,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433171
2943,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433171
2907,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433184
11236,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433184
15021,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420224433400
11298,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433440
2942,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433440
3000,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433564
11226,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433564
11296,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433650
2928,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433650
2990,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433652
11244,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433652
3007,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433653
11265,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433653
11317,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433681
2950,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433681
2926,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433691
11237,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433691
11235,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433749
2984,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433749
2958,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433750
11319,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433750
11325,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433758
3034,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433758
11224,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433819
2916,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433819
11292,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433834
2978,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433834
11219,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433840
2931,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433840
15029,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420224433840
2996,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224433925
11289,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224433925
11313,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434027
2954,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434027
11318,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434082
2971,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434082
2994,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434126
11331,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434126
2939,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434128
11216,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434128
11194,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434174
3015,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434174
11269,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434182
2917,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434182
2893,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434215
11255,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434215
2985,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434267
11240,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434267
11310,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434269
3030,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434269
2922,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434272
11231,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434272
2959,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434295
11279,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434295
11329,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434297
2910,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434297
11283,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434298
3008,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434298
2964,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434326
11282,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434326
3035,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434400
11330,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434400
11326,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434401
2989,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434401
2965,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434566
11210,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434566
11297,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434626
2946,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434626
11272,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434628
2895,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434628
3004,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434760
11200,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434760
11257,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434806
2980,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434806
11195,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224434914
2970,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224434914
2968,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224435012
11322,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224435012
11328,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224435031
2972,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224435031
11321,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224435060
2997,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224435060
11193,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224435072
2991,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224435072
11228,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224435153
2897,http://www.fnmotol.cz,http://www.fnmotol.cz,+420224435153
11301,https://www.fnmotol.cz/,https://www.fnmotol.cz/,+420224435179
